"id_analyse","nom_analyse","nom_prenom","nageur_sexe","competition_nom","mois_annee","distance_course","style_nage","round","temps_final","temps_reaction","temps_vol","temps_depart","DISTANCE_FIN_COULEE","LONGUEUR","TEMPS_FIN_COULEE","TEMPS_DE_PASSAGE"
"1291","400 Nage Libre Finale CF 2018 SAINT RAPHAEL",AUBRY David,m,CF 2018 SAINT RAPHAEL,"2018-05","400",Nage Libre,Finale,228.81,0.7,0.94,1.64,"10.63;56.32;106.91;156.5;206.14;256.04;306.22;356.59","0;50;100;150;200;250;300;350","4.55;29.58;59.07;88.19;117.66;146.68;175.73;204.21","27.05;56.18;85.67;115.1;144.37;173.16;201.65;228.81"
"12910","400 Nage Libre Finale CF 2018 SAINT RAPHAEL",SALVAN Hadrien,m,CF 2018 SAINT RAPHAEL,"2018-05","400",Nage Libre,Finale,238.62,0.66,0.98,1.6400000000000001,"9.96;56.23;105.92;155.65;205.67;255.74;305.31;355.65","0;50;100;150;200;250;300;350","4.53;30.32;60.45;90.47;121.39;151.99;182.37;212.48","27.81;57.78;88.07;119.01;149.57;180.16;210.14;238.62"
"129100","200 Nage Libre Finale CF 2018 SAINT RAPHAEL",DERACHE Alexandre,m,CF 2018 SAINT RAPHAEL,"2018-05","200",Nage Libre,Finale,108.35,0.63,0.97,1.6,"12.54;57.57;106.46;156.35","0;50;100;150","5.15;28.43;55.43;83.59","25.23;52.75;80.99;108.35"
"129101","200 Nage Libre Finale CF 2018 SAINT RAPHAEL",POTHAIN Jordan,m,CF 2018 SAINT RAPHAEL,"2018-05","200",Nage Libre,Finale,108.76,0.67,1.03,1.7000000000000002,"12.35;57.68;107.76;157.51","0;50;100;150","5.09;28.53;55.69;83.68","25.29;52.33;80.39;108.76"
"129102","200 Nage Libre Finale CF 2018 SAINT RAPHAEL",ATSU Jonathan,m,CF 2018 SAINT RAPHAEL,"2018-05","200",Nage Libre,Finale,109.06,0.63,0.97,1.6,"12.24;57.23;106.92;156.65","0;50;100;150","5.01;28.91;56.44;84.38","25.88;53.4;81.56;109.06"
"129103","200 Nage Libre Finale CF 2018 SAINT RAPHAEL",SALVAN Hadrien,m,CF 2018 SAINT RAPHAEL,"2018-05","200",Nage Libre,Finale,109.86,0.63,0.98,1.6099999999999999,"9.91;55.67;105.34;155.51","0;50;100;150","4.18;27.81;55.69;84.28","25.61;53.63;82.06;109.86"
"1291039","200 Nage Libre Series CHPTS DU CANADA 2015",MARCHAL Lea,f,CHPTS DU CANADA 2015,"2015-08","200",Nage Libre,Series,125.82,0.7,1.02,1.72,"7.77;54.68;103.47;154.24","0;50;100;150","3.82;32.1;63.74;96.78","29.74;61.75;94.56;125.82"
"129104","200 Nage Libre Finale CF 2018 SAINT RAPHAEL",PACO PEDRONI Tom,m,CF 2018 SAINT RAPHAEL,"2018-05","200",Nage Libre,Finale,112.43,0.63,0.99,1.62,"10.49;57.49;106.68;156.96","0;50;100;150","4.33;28.33;56.14;86.06","25.16;53.22;83;112.43"
"1291040","100 Dos Series CHPTS DU CANADA 2015",MAHIEU Pauline,f,CHPTS DU CANADA 2015,"2015-08","100",Dos,Series,63.38,0.65,0.77,1.42,"13.24;57.31","0;50","7.17;35.05","31.12;63.38"
"1291041","100 Dos Series CHPTS DU CANADA 2015",GARASYMOVYTCH Oleg,m,CHPTS DU CANADA 2015,"2015-08","100",Dos,Series,57.34,0.65,0.81,1.46,"14.43;59.74","0;50","7.09;32.69","27.8;57.34"
"1291042","100 Dos Series CHPTS DU CANADA 2015",MATHIEU Geoffroy,m,CHPTS DU CANADA 2015,"2015-08","100",Dos,Series,58.42,0.65,0.81,1.46,"14.53;61.92","0;50","7.41;34.97","28.81;58.42"
"1291044","200 Nage Libre Series CHPTS DU CANADA 2015",GARZOTTO Guillaume,m,CHPTS DU CANADA 2015,"2015-08","200",Nage Libre,Series,115.25,0.7,1.06,1.76,"11.86;57.27;105.84;156.13","0;50;100;150","5.74;30.86;60.02;89.22","27.43;57;86.4;115.25"
"1291046","200 Brasse Series CHPTS DU CANADA 2015",CALLAIS Quentin,m,CHPTS DU CANADA 2015,"2015-08","200",Brasse,Series,136.81,0.7,1.1,1.8,"11.42;60.25;110.06;159.33","0;50;100;150","5.62;38.38;73.3;107.86","31.58;66.81;101.74;136.81"
"1291047","100 Dos Finale CHPTS DU CANADA 2015",MAHIEU Pauline,f,CHPTS DU CANADA 2015,"2015-08","100",Dos,Finale,62.48,0.65,0.77,1.42,"11.16;57.31","0;50","5.93;33.77","30.25;62.48"
"1291048","100 Dos Finale CHPTS DU CANADA 2015",GARASYMOVYTCH Oleg,m,CHPTS DU CANADA 2015,"2015-08","100",Dos,Finale,57.37,0.65,0.85,1.5,"14.5;59.12","0;50","6.93;32.41","27.73;57.37"
"1291049","100 Dos Finale CHPTS DU CANADA 2015",MATHIEU Geoffroy,m,CHPTS DU CANADA 2015,"2015-08","100",Dos,Finale,59.09,0.65,0.81,1.46,"15.4;61.91","0;50","7.61;35.45","28.9;59.09"
"129105","200 Nage Libre Finale CF 2018 SAINT RAPHAEL",BRENON Kyllian,m,CF 2018 SAINT RAPHAEL,"2018-05","200",Nage Libre,Finale,110.24,0.66,1.02,1.6800000000000002,"10.72;56.03;105.12;155.03","0;50;100;150","4.63;28.22;55.61;83.73","25.76;53.61;82;110.24"
"1291050","200 Brasse Finale CHPTS DU CANADA 2015",CALLAIS Quentin,m,CHPTS DU CANADA 2015,"2015-08","200",Brasse,Finale,134.75,0.7,1.02,1.72,"11.38;59.39;109.46;158.48","0;50;100;150","5.66;37.42;71.98;105.9","31.23;65.93;100.14;134.75"
"1291051","200 Nage Libre Finale CHPTS DU CANADA 2015",MARCHAL Lea,f,CHPTS DU CANADA 2015,"2015-08","200",Nage Libre,Finale,125.42,0.7,1.06,1.76,"7.63;54.23;104.09;154.2","0;50;100;150","4.06;32.22;64.02;96.3","30.01;61.85;94.19;125.42"
"1291052","100 Brasse Series CHPTS DU CANADA 2015",CALLAIS Quentin,m,CHPTS DU CANADA 2015,"2015-08","100",Brasse,Series,64.8,0.7,1.06,1.76,"10.54;59.47","0;50","5.58;37.14","30.91;64.8"
"1291053","50 Dos Series CHPTS DU CANADA 2015",MAHIEU Pauline,f,CHPTS DU CANADA 2015,"2015-08","50",Dos,Series,29.59,0.65,0.77,1.42,"12.63","0","6.81","29.59"
